round,country,population,pop_pct,capital,stockpile,sick,cured,deaths,production,trust,deaths_total,vaccinated_total,given_total,received_total,sold_total,betrayals,alive
1,India,9790000,97.9,5310000,0,1600000,1390000,210000,1090000,50,210000,1390000,0,0,0,0,TRUE
1,USA,6000000,100,3204000,380223,600000,600000,0,636000,46.4,0,600000,55777,0,0,1,TRUE
1,China,9370000,98.63157895,4940000,0,1520000,1390000,130000,1040000,50,130000,1390000,0,0,0,0,TRUE
1,Brazil,3926000,98.15,1944000,86751,640000,566000,74000,416000,50,74000,566000,0,86751,0,0,TRUE
1,Germany,2500000,100,1328000,191026,250000,250000,0,272000,41.5,0,250000,30974,0,0,1,TRUE
2,India,9790000,97.9,4634490,59311,1000000,1000000,0,1067110,42.1,210000,2390000,7799,0,0,1,TRUE
2,USA,6000000,100,2808000,44391,960000,960000,0,636000,38.6,0,1560000,67609,0,0,2,TRUE
2,China,9370000,98.63157895,4289032,60718,950000,950000,0,1025768,49.9,130000,2340000,15050,0,0,1,TRUE
2,Brazil,3781055,94.526375,1692736,131061,640000,495055,144945,408304,50,218945,1061055,0,217812,0,0,TRUE
2,Germany,2500000,100,1156000,116646,250000,250000,0,272000,39,0,500000,127354,0,0,2,TRUE
3,India,9316421,93.16421,3958980,0,1600000,1126421,473579,1067110,42.3,683579,3516421,7799,0,0,1,TRUE
3,USA,6000000,100,2412000,58593,600000,600000,0,636000,33,0,2160000,89407,0,0,3,TRUE
3,China,8936486,94.06827368,3638064,0,1520000,1086486,433514,1025768,49.9,563514,3426486,15050,0,0,1,TRUE
3,Brazil,3665345,91.633625,1450749,56559,640000,524290,115710,393230,50,334655,1585345,0,274371,0,0,TRUE
3,Germany,2500000,100,984000,103885,250000,250000,0,272000,31.2,0,750000,162115,0,0,3,TRUE
4,India,9316421,93.16421,3316148,12493,1000000,1000000,0,1015490,39.1,683579,4516421,10795,0,0,2,TRUE
4,USA,6000000,100,2016000,70273,600000,600000,0,636000,27.1,0,2760000,113727,0,0,4,TRUE
4,China,8936486,94.06827368,3017213,24214,950000,950000,0,978310,45.8,563514,4376486,19146,0,0,2,TRUE
4,Brazil,3463099,86.577475,1216168,72189,640000,437754,202246,381196,50,536901,2023099,0,346560,0,0,TRUE
4,Germany,2500000,100,812000,85108,250000,250000,0,272000,25.6,0,1000000,202892,0,0,4,TRUE
5,India,9316421,93.16421,2673316,27982,1000000,1000000,0,1015490,39.3,683579,5516421,10795,0,0,2,TRUE
5,USA,6000000,100,1620000,106273,600000,600000,0,636000,27.5,0,3360000,113727,0,0,4,TRUE
